company,raise_usd,stage,website,press_email,contact_email,confidence,subject,added_to_directory
"InSoil","137000000","","https://insoil.com","","","high","Covering InSoil's €120M raise — feature in The Energy Pioneer?","yes"
"Grenergy Renovables","134000000","","https://grenergy.eu","","","high","Covering Grenergy's latest raise — feature + intro call?","yes"
"Xoople","130000000","series_b","https://www.xoople.com","","","high","The Energy Pioneer – featuring Xoople's $130M raise","yes"
"Fitt Group","129000000","","https://www.fitt.com","","","high","The Energy Pioneer – Featuring FITT Group's $129M ESG Financing","yes"
"DRI","127000000","","https://www.derivaenergy.com","","","high","Covering Deriva's $127M financing – would love to feature you","yes"
"GREW Solar","118000000","","https://thegrewsolar.com","","info@thegrewsolar.com","high","Featuring GREW Solar in The Energy Pioneer","yes"
"Scatec","110100000","","https://www.scatec.com","","","high","Featuring Scatec's Sidi Bouzid II milestone – The Energy Pioneer","yes"
"Starfish Space","110000000","series_b","https://www.starfishspace.com","press@starfishspace.com","hello@starfishspace.com","high","Covering Starfish Space's $110M raise — would love to feature you","yes"
"GMT","108000000","","https://gmt.energy","","","high","Covering GMT's £195m ING raise — feature + intro call?","yes"
"EPG","100000000","series_b","https://www.epg-module.com","","communications@epg-module.com","high","Covering EPG's $100M raise — would love to feature you in The Energy Pioneer","yes"
"Zūm","100000000","growth","https://www.ridezum.com","press@ridezum.com","","high","Covering Zum's $100M raise + the CMX platform for The Energy Pioneer","yes"
"Radiance Renewables","100000000","","https://www.radiancerenewables.com","","","high","Featuring Radiance Renewables in The Energy Pioneer","yes"
"Utility Global","100000000","series_d","https://utilityglobal.com","","","high","Featuring Utility Global in The Energy Pioneer","yes"
"NGEN Energetske Rešitve","81300000","","https://www.ngen-group.eu","","info@ngen-group.eu","high","Covering NGEN's €70M EBRD raise — feature & quick intro?","yes"
"NGEN Energetske Resitve","81000000","","https://www.ngen-group.eu","","info@ngen.si","high","Covering NGEN's €70M EBRD deal – Energy Pioneer feature","existing/no"
"European Energy","76000000","","https://www.europeanenergy.com","","info@europeanenergy.dk","high","Covering European Energy's Kvosted financing — EP Network feature?","yes"
"OX2","73000000","","https://www.ox2.com","press@ox2.com","info@ox2.com","high","The Energy Pioneer – featuring OX2's Poland solar + BESS financing","yes"
"Star Catcher","65000000","series_a","https://www.star-catcher.com","","","high","The Energy Pioneer – covering Star Catcher's $65M raise","yes"
"Gridcare","64000000","series_a","https://www.gridcare.ai","","","high","Covering GridCARE's $64M raise — feature + quick intro?","yes"
"American Battery Technology Co.","57000000","","https://americanbatterytechnology.com","","info@batterymetals.com","high","Feature idea: ABTC's reinstated $57M DOE grant","existing/no"
"Opdenergy","57000000","","https://www.opdenergy.com","","","high","The Energy Pioneer – featuring Opdenergy's latest raise","yes"
"Naturgy","56500000","","https://www.naturgy.com","","","high","Covering Naturgy's Belesar III grant – feature idea for The Energy Pioneer","yes"
"Enagas Renovable","56000000","","https://enagasrenovable.es/en/","","","high","Covering Enagás Renovable's next chapter – feature in The Energy Pioneer?","yes"
"Aukera Energy","55000000","","https://www.aukera.energy","","","high","Covering Aukera's IFC financing & European BESS build-out — The Energy Pioneer","yes"
"Verse","54000000","series_b","https://verse.inc","marketing@verse.inc","info@verse.inc","high","Covering Verse's $54M Series B — feature + intro call?","yes"
"SolarSquare Energy","53000000","series_c","https://www.solarsquare.in","","shreya@solarsquare.in","high","Feature opportunity – SolarSquare's $53M Series C","yes"
"Magtel","53000000","","https://magtel.es/en","","info@magtel.es","high","The Energy Pioneer – Covering Magtel's Grandas de Salime Win","yes"
"Arc Boats","50000000","series_c","https://arcboats.com","","","high","Covering Arc's $50M Series C — would love to connect","yes"
"Asuene","42000000","series_d","https://asuene.com","","","high","Covering Asuene's Series D — would love to feature you in The Energy Pioneer","yes"
"FYLD","41000000","series_b","https://fyld.ai","","","high","Covering FYLD's $41M Series B for The Energy Pioneer","yes"
"SatVu","41000000","series_a","https://www.satellitevu.com","","","high","Featuring SatVu in The Energy Pioneer","yes"
"JBM Ecolife","40000000","","https://www.jbmgroup.com","","","high","Featuring JBM Ecolife in The Energy Pioneer","yes"
"Isometric","40000000","series_a","https://isometric.com","press@isometric.com","contact@isometric.com","high","Covering Isometric's $40M raise for The Energy Pioneer","yes"
"Greenjets","40000000","series_a","https://www.greenjets.com","","careers@greenjets.com","high","Covering Greenjets' $40M Series A — feature + intro call?","yes"
"3V Infrastructure","40000000","","https://www.3vinfrastructure.com","","","high","Covering 3V Infrastructure — feature + quick intro?","yes"
"Axian Energy","40000000","","https://www.axian-group.com/axian-energy-2/","","","high","Featuring Axian Energy in The Energy Pioneer","yes"
"ACME Solar","39000000","","https://www.acmesolar.in","","","high","Covering ACME Solar's latest REC financing – would love to connect","yes"
"Madagascar mini-grid electrification","37000000","","https://www.welight-africa.com","","","medium","Covering WeLight's latest raise — would love to connect","yes"
"NewCold","37000000","","https://newcold.com","","","high","Covering NewCold's Romania expansion – feature in The Energy Pioneer?","yes"
"Secaro","37000000","","https://secaro.io","","","high","Covering Secaro's acquisition by Asuene — feature in The Energy Pioneer?","yes"
"Mantle8","36000000","series_a","https://mantle8.com","","","high","Covering Mantle8 in The Energy Pioneer","yes"
"Coventina Renovables","35300000","","","","","medium","EP Network – covering Coventina's Meirama pumped storage win","existing/no"
"Standing Ovation","35000000","series_b","https://standing-ovation.co","","","high","Featuring Standing Ovation in The Energy Pioneer","yes"
"Candela","35000000","series_c","https://candela.com","","","high","Covering Candela's $35M Series C — feature in The Energy Pioneer?","yes"
"Tomorrow.io","35000000","growth","https://www.tomorrow.io","","","high","Covering Tomorrow.io's $35M raise — would love to connect","existing/no"
"Afresh","34000000","series_b","https://www.afresh.com","mstarr@bateman-group.com","","high","Featuring Afresh in The Energy Pioneer — congrats on the $34M raise","yes"
"First Light Fusion","34000000","series_c","https://firstlightfusion.com","","","high","Covering First Light Fusion's £25m raise — would love to connect","existing/no"
"Rivan Industries","34000000","series_a","https://rivan.com","","","high","Covering Rivan's $34M raise — feature + quick intro?","yes"
"MoA Technology","30000000","series_c","https://www.moa-technology.com","press@moa-technology.com","contact@moa-technology.com","high","Covering Moa's Series C – feature in The Energy Pioneer?","yes"
"Hippo Harvest","30000000","series_c","https://hippoharvest.com","","","high","Covering Hippo Harvest's $30M Series C — would love to connect","yes"
"Voltify","30000000","seed","https://www.voltify.com","","","high","Covering Voltify at The Energy Pioneer","yes"
"Syntetica","30000000","series_a","https://www.syntetica.co","","","high","Covering Syntetica's $30M Series A — feature + intro call?","yes"
"Bioo","29000000","","https://www.bioosolucoes.com.br","","","high","Covering Bioo's BNDES raise — would love to connect","yes"
"Urtopia","29000000","series_b","https://newurtopia.com","","support@newurtopia.com","high","Covering Urtopia's Series B – feature in The Energy Pioneer?","yes"
"Gaussion","28000000","series_a","https://www.gaussion.com","","","high","Covering Gaussion's $28M raise — feature in The Energy Pioneer?","yes"
"ThinkLabs AI","28000000","series_a","https://thinklabs.ai","","","high","ThinkLabs AI + The Energy Pioneer","yes"
"Villar Mir","27100000","","https://grupovillarmir.es","","","medium","Covering Villar Mir's Los Guájares grant for The Energy Pioneer","yes"
"TAR","27000000","seed","https://www.tar.com","","","high","Covering TAR's $27M raise — would love to feature you in The Energy Pioneer","existing/no"
"Decade Energy","26000000","series_a","https://decade.energy","","","high","Covering Decade Energy's €22M raise — feature in The Energy Pioneer?","yes"
"Iceotope","26000000","series_b","https://www.iceotope.com","","","high","Covering Iceotope's $26M Series B – The Energy Pioneer","yes"
"Axle Energy","25000000","series_a","https://www.axle.energy","","","high","Covering Axle's $25M Series A — feature in The Energy Pioneer?","yes"
"Jaguar Uranium Corp","25000000","ipo","https://www.jaguaruranium.com","","info@jaguaruranium.com","high","Covering Jaguar Uranium's IPO for The Energy Pioneer","yes"
"Tindo","24500000","","https://tindosolar.com.au","","info@tindosolar.com","high","Featuring Tindo Solar in The Energy Pioneer","yes"
"REPS","24000000","seed","https://www.reps.energy","","","high","Featuring REPS in The Energy Pioneer","yes"
"Humble","24000000","seed","https://humblerobotics.ai","","","high","The Energy Pioneer – featuring Humble's $24M seed launch","yes"
"Rosi","23400000","series_b","https://www.rosi-solar.com","","","high","Covering ROSI's €20M Series B – would love to feature you","yes"
"e-peas","22000000","series_a","https://www.e-peas.com","","info@e-peas.com","high","Covering e-peas in The Energy Pioneer","yes"
"The Protein Brewery","21000000","series_b","https://www.theproteinbrewery.nl","","","high","Featuring The Protein Brewery in The Energy Pioneer","yes"
"Stenon","20000000","series_b","https://stenon.io","","","high","Covering Stenon's Series B for The Energy Pioneer","yes"
"Mako","19000000","series_a","https://mako.aero","press@mako.aero","hello@mako.aero","high","The Energy Pioneer – featuring MAKO's Series A & Flightfilm","yes"
"Critical Energy","19000000","seed","https://criticalenergy.com","","","high","Covering Critical Energy's $19M raise — feature in The Energy Pioneer?","yes"
"Phytokana Ingredients","18000000","seed","https://phytokana.com","","","medium","Covering Phytokana's $18M raise — would love to connect","yes"
"Alva Industries","18000000","series_a","https://www.alvaindustries.com","","contact@alvaindustries.com","high","Covering Alva's €16M raise — feature in The Energy Pioneer?","yes"
"Hephae Energy Technology","18000000","series_a","https://www.hephaeet.com","","","high","Covering Hephae's Series A — would love to connect","yes"
"Statiq","18000000","series_a","https://www.statiq.in","","support@statiq.in","high","Covering Statiq's $18M raise — feature in The Energy Pioneer?","existing/no"
"Zero Homes","17000000","series_a","https://www.zerohomes.io","press@zerohomes.io","hello@zerohomes.io","high","Covering Zero Homes' $16.8M raise — feature + quick intro?","yes"
"Modo Energy","17000000","","https://modoenergy.com","","","high","Covering Modo Energy's $17M raise — feature + quick intro?","yes"
"Virtuitis","16000000","","https://www.virtuitissolaris.com","","","high","Covering Virtuitis Solaris in The Energy Pioneer","yes"
"HVR Energy","15000000","","https://hvrenergy.com","","","high","Featuring HVR Energy in The Energy Pioneer","yes"
"ECOncrete","14000000","series_a","https://econcretetech.com","","","high","Covering ECOncrete's $14M raise — feature + intro call?","yes"
"GridBeyond","14000000","series_d","https://gridbeyond.com","pressoffice@gridbeyond.com","service@gridbeyond.com","high","The Energy Pioneer – featuring GridBeyond's Series D raise","yes"
"Exergy3","14000000","seed","https://www.exergy3.com","","getintouch@exergy3.com","high","Covering Exergy3 in The Energy Pioneer","yes"
"Lug+Carrie","13000000","","https://lug-carrie.com","","","medium","Featuring Lug+Carrie in The Energy Pioneer","yes"
"StrainX","13000000","seed","https://www.strainx.in","","","medium","Covering StrainX Bioworks – would love to connect","yes"
"Texture","13000000","series_a","https://www.texturehq.com","","","high","Covering Texture's $12.5M raise — feature in The Energy Pioneer?","yes"
"Circular Materials","13000000","pre_seed","https://circularmaterials.it","","","high","Circular Materials + The Energy Pioneer — quick intro?","yes"
"Kvasir Technologies","12000000","series_a","https://kvasirtechnologies.com","","info@kvasirtechnologies.com","high","Featuring Kvasir in The Energy Pioneer","yes"
"CullBeck","12000000","seed","https://www.cullbeck.com","","","high","Covering CullBeck's raise for The Energy Pioneer","yes"
"Helix Earth Technologies","12000000","seed","https://www.helixearth.com","","info@HelixEarthTechnologies.com","high","Covering Helix Earth's $12M round — feature in The Energy Pioneer","yes"
"Casimir","12000000","seed","https://www.casimir.inc","","","high","Featuring Casimir in The Energy Pioneer","yes"
"WeSort.AI","11000000","seed","https://www.wesort.ai","","contact@wesort.ai","high","Feature opportunity: WeSort.AI in The Energy Pioneer","yes"
"Bohr Energie","11000000","series_a","https://bohr-energie.fr","","","high","Covering Bohr Energie for The Energy Pioneer","yes"
"Fuchs & Eule","11000000","series_a","https://fuchs-eule.de","","","high","Covering Fuchs & Eule in The Energy Pioneer","yes"
"BatX Energies","11000000","series_a","https://www.batxenergies.com","","info@batx.in","high","Covering BatX Energies in The Energy Pioneer","yes"
"Rainbow Crops","11000000","seed","https://www.rainbowcrops.com","","","low","Featuring Rainbow Crops in The Energy Pioneer","yes"
"SmartD Technologies","11000000","series_a","https://www.smartd.tech","","info@smartd.tech","high","Covering SmartD's raise for The Energy Pioneer","yes"
"Mantis Space","10000000","seed","https://mantis.space","","","high","Covering Mantis Space's $10M seed — would love to connect","yes"
"Bluecore Energy","10000000","pre_seed","https://www.bluecore.energy","","","high","The Energy Pioneer – Feature on Bluecore Energy","yes"
"Raydean","10000000","seed","https://raydean.com","","","high","Covering Raydean's raise — feature + quick intro?","yes"
"AgZen","10000000","series_b","https://www.agzen.com","","info@agzen.com","high","Featuring AgZen in The Energy Pioneer","yes"
"Graphite Energy","10000000","","https://www.graphiteenergy.com","","","high","Featuring Graphite Energy in The Energy Pioneer","yes"
"ECOMMIT","9000000","series_b","https://www.ecommit.jp/en/","","","medium","Covering ECOMMIT's Series B — feature in The Energy Pioneer?","yes"
"Renewable Metals","9000000","series_a","https://www.renewable-metals.com","","","high","Covering Renewable Metals for The Energy Pioneer","yes"
"Arcturus","8000000","seed","https://arcturus.io","","amir@arcturus.io","high","Covering Arcturus for The Energy Pioneer","yes"
"Resurrect Bio","8000000","series_a","https://www.resurrect.bio","","cian@resurrect.bio","high","Covering Resurrect Bio's $8M Series A — feature in The Energy Pioneer?","yes"
"Kilter","8000000","series_a","https://www.kiltersystems.com","","contact@kiltersystems.com","high","Featuring Kilter in The Energy Pioneer","yes"
"Elvy","8000000","seed","https://www.elvyenergy.com","","","high","Covering Elvy's raise + energy-as-a-service model — The Energy Pioneer","yes"
"Rubi Laboratories","8000000","seed","https://www.rubi.earth","","","high","Rubi Labs x The Energy Pioneer — covering your seed raise","yes"
"Verbund","7100000","","https://www.verbund.com","","","high","La Baells project + The Energy Pioneer","yes"
"Soma Energy","7000000","seed","https://soma.energy","","","high","Covering Soma Energy's $7M raise — The Energy Pioneer","yes"
"Foreverland","7000000","seed","https://foreverland.it","","","high","Covering Foreverland's €6M raise — would love to feature you","yes"
"Astranova Mobility","7000000","series_a","https://astranovamobility.com","","","high","Featuring Astranova Mobility in The Energy Pioneer","yes"
"Dogtooth Technologies","6200000","seed","https://dogtooth.tech","","info@dogtoothtech.com","high","Featuring Dogtooth's raise in The Energy Pioneer","yes"
"Greenpixie","6000000","seed","https://greenpixie.com","press@greenpixie.com","hello@greenpixie.com","high","Covering Greenpixie for The Energy Pioneer","yes"
"Contact BioSolutions","6000000","seed","https://www.contactbiosolutions.com","","","medium","Feature opportunity: Contact BioSolutions + The Energy Pioneer","yes"
"TerraSpark","6000000","pre_seed","https://www.terraspark.energy","","","high","Covering TerraSpark for The Energy Pioneer","yes"
"Mikal Løvik's startup","6000000","","https://www.eqon.com","","mail@eqon.com","high","Featuring EQON in The Energy Pioneer","yes"
"Aardaia","5700000","seed","https://aardaia.com","","","high","Featuring Aardaia in The Energy Pioneer","yes"
"QuberTech","5000000","seed","https://www.qubertech.uk","","","high","Covering QuberTech – The Energy Pioneer","yes"
"Level Nine","5000000","seed","https://www.levelninelabs.com","","","high","The Energy Pioneer – featuring Level Nine's seed raise","yes"
"Nature Robots","5000000","seed","https://naturerobots.com","","info@naturerobots.com","high","Featuring Nature Robots in The Energy Pioneer","yes"
"Bubble Robotics","5000000","pre_seed","https://www.bubble-robotics.com","","","high","Covering Bubble Robotics for The Energy Pioneer","yes"
"nuuEnergy","5000000","seed","https://www.nuuenergy.com","","hello@nuuenergy.com","high","Featuring nuuEnergy in The Energy Pioneer","yes"
"Aampere","5000000","seed","https://www.aampere.com","","support@aampere.io","high","Covering Aampere's €4.2M round — feature in The Energy Pioneer?","yes"
"TaiSan","5000000","seed","https://www.taisan.co.uk","","founder@taisan.co.uk","high","The Energy Pioneer – featuring TaiSan's £4.65M raise","yes"
"Cloneable","5000000","seed","https://www.cloneable.ai","","","high","Covering Cloneable's seed round — would love to connect","yes"
"Altillion","5000000","seed","https://altillion.com","","","high","Covering Altillion's $5M seed round — feature in The Energy Pioneer","yes"
"Plume","4000000","seed","https://www.plume.energy","","","high","Featuring Plume in The Energy Pioneer","yes"
"Bacancy Systems","4000000","series_a","https://bacancysystems.com","","","high","Covering Bacancy Systems' Series A — feature + quick intro?","yes"
"RPD Technologies","4000000","","https://www.rpdtechnologies.com","","admin@rpdtechnologies.com","high","RPD Technologies x The Energy Pioneer – quick intro?","yes"
"Sequestra","4000000","seed","https://www.sequestra.tech","","office@sequestra.tech","high","Feature sequestra in The Energy Pioneer?","yes"
"Elea & Lili","3000000","seed","https://www.elealili.com","","","high","Covering Elea & Lili in The Energy Pioneer","yes"
"Nirova","3000000","seed","https://nirova.com","dan@okeeffe-pr.com","","high","The Energy Pioneer – featuring Nirova's $3M raise","yes"
"Digiclean","2900000","seed","https://www.digicleansolutions.com/","","","high","Covering Digiclean in The Energy Pioneer","yes"
"Porelio","2700000","pre_seed","https://www.porelio.com","","info@porelio.com","high","Covering Porelio's pre-seed round — feature in The Energy Pioneer?","yes"
"Milo Drive","2400000","seed","https://www.milodrive.com","","tech@milodrive.com","high","Covering Milo Drive for The Energy Pioneer","yes"
"Volt Harbor","2000000","seed","https://www.voltharbor.com","","","high","Covering Volt Harbor's launch + $2M raise — Energy Pioneer","yes"
"Vyterra Renewables","2000000","","https://vyterra.com","","","high","The Energy Pioneer – featuring Vyterra Renewables","yes"
"Seqana","1800000","","https://www.seqana.com","","","high","Featuring Seqana in The Energy Pioneer","yes"
"Archimede","1700000","seed","https://www.archimedeworld.com","","","medium","Covering Archimede's seed round – The Energy Pioneer","yes"
"Wildfire Energy","1400000","seed","https://www.wildfireenergy.com.au","","jamie.roodenrys@wildfireenergy.com.au","high","Covering Wildfire Energy's raise — feature + quick intro?","yes"
"eMabler","1200000","","https://emabler.com","","","high","Covering eMabler's Series A — feature + intro call?","yes"
"Albatross Energetics","1100000","seed","https://www.albatross-energetics.in","","","high","Covering Albatross Energetics in The Energy Pioneer","yes"
"OnePower Africa","1000000","","https://1pwrafrica.com","","","high","Covering OnePower's Benin mini-grid raise for The Energy Pioneer","yes"
"Halocell Energy","428000","","https://www.halocell.energy","","hr@halocell.energy","high","Featuring Halocell in The Energy Pioneer","yes"
"Epsilon Energia Solar","381000","","https://epsilonenergia.co.mz","","","medium","Covering Epsilon Energia Solar – EP Network Feature","yes"
